Gravetal Bolivia,Gravetal Bolivia,173371940
Gravetal Bolivia,Bunge Agritrade,101780944
Gravetal Bolivia,Luzar Trading,35868183
Industrias De Aceite ,Pierre Michel Vincent,61996169
Industrias De Aceite ,Romero Trading,54207489
Industrias De Aceite ,Meserole Corporation,29109516
Industrias De Aceite ,Other,53756239
Sociedad Agroindustral Nutrioil,Nutrioil,72343418
Sociedad Agroindustral Nutrioil,Amerinter USA Corp,23117880
Sociedad Agroindustral Nutrioil,Bunge Agritrade,32254349
Sociedad Agroindustral Nutrioil,Seaboard Overseas Ltd,18678683
Sociedad Agroindustral Nutrioil,Avicola de Occidente,4020282
Sociedad Agroindustral Nutrioil,Planet Cargo,2711500
ADM SAO,Agrograin Ltd Sucursal Uruguay,109962987
ADM SAO,Agrograin Ltd ,6495117
ADM SAO,ADM Andina Peru,5162936
ADM SAO,ADM Chile Commercial Ltda,2918475
ADM SAO,Organizacon Cardenas,2663566
ADM SAO,Comercializadora Giraldo Y Gomez,2226171
ADM SAO,John Restrepo A Y CIA,2032568
ADM SAO,ADM SAO Peru,2000602
ADM SAO,Dicolventas SAS,1862581
ADM SAO,Agricola Tarapaca Ltda,1344211
ADM SAO,Comercializadora Floralia,1059238
ADM SAO,Almacenes Exito,813736
ADM SAO,Moderna Alimentos,755594
ADM SAO,Soc Com Import Y Export Soganol,596113
ADM SAO,Supertiendas Cañaveral ,520814
ADM SAO,Grupo Caza,439308
ADM SAO,Soc Com Import Y Export Soganol,437241
ADM SAO,Canuelas Chile Spa,251591
ADM SAO,Corporacion Santa Clara Sac,99728
ADM SAO,Oliojoya Industria Aceitera CIA Ltd,43716
Hugo Spechar Gonzales,Agrograin Ltd Sucursal Uruguay,6532698
Hugo Spechar Gonzales,Romero Trading,1194861
Hugo Spechar Gonzales,La Semilla de Oro SAC,20983455
Hugo Spechar Gonzales,Empresa Comercial Peruana EIRL,12730311
Hugo Spechar Gonzales,BYS Vegetales Spa,11474478
Hugo Spechar Gonzales,Molinorte SAC,11087636
Hugo Spechar Gonzales,Contilatin Del Peru SA,9660489
Hugo Spechar Gonzales,Agroandina SA,6276147
Hugo Spechar Gonzales,Graneles Del Peru,5704795
Hugo Spechar Gonzales,Alimentos Y Servicios Agropecuarios,5638865
Hugo Spechar Gonzales,Broom Panama SA,5224708
Hugo Spechar Gonzales,Empresa Comercializadora De Oleagin,5206993
Hugo Spechar Gonzales,Imiser SAC,5172919
Hugo Spechar Gonzales,Mimpexgroup Peru SAC,4922313
Hugo Spechar Gonzales,Arica Trading SA,4848332
Hugo Spechar Gonzales,Cargill Inc,3337000
Hugo Spechar Gonzales,Peruvian Soybean Company SAC,2799142
Hugo Spechar Gonzales,LDC Trading Y Service Co SA,2604473
Hugo Spechar Gonzales,Maximilian Inversiones SA,2027731
Hugo Spechar Gonzales,Montana SA,1740108
Hugo Spechar Gonzales,Battilana Nutricion SAC,1362903
Hugo Spechar Gonzales,Inversiones Comerciales Sol SAC,951837
Hugo Spechar Gonzales,Inversiones Y Inmobiliarias Real CA,721016
Hugo Spechar Gonzales,Nor Alimentos SRL,712910
Hugo Spechar Gonzales,Agropecuaria E Industrias Fafio SA,645105
Hugo Spechar Gonzales,Representaciones Moravi SAC,634005
Hugo Spechar Gonzales,Corporacion De Alimentos Del Peru,572064
Hugo Spechar Gonzales,Mundo Pecuario SAC,463777
Hugo Spechar Gonzales,Distribuidora Nacional de Carnes LI,445361
Hugo Spechar Gonzales,Rios SAC,444615
Hugo Spechar Gonzales,Alicorp SAA,368401
Hugo Spechar Gonzales,Agrograin Ltd ,220740
Hugo Spechar Gonzales,Cañuelas Chile SPA,209790
Hugo Spechar Gonzales,Agroservivios Real Capital SPA,192735
Hugo Spechar Gonzales,BYS Vegetales Spa,172490
Hugo Spechar Gonzales,Kabsa SA,138868
Hugo Spechar Gonzales,Agersa SRL,136635
Hugo Spechar Gonzales,Contreras Y Sanchez Lidt,93094
Hugo Spechar Gonzales,Corporacion de Cereales SAC,66990
Hugo Spechar Gonzales,Inversiones Herein Peru SAC,56550
Hugo Spechar Gonzales,Productos Costasol SAC,48720
Hugo Spechar Gonzales,Tilin SAC,23520
Hugo Spechar Gonzales,Lima Trader SAC,38080
Industrias Oleaginosas SA,Radsil Corp,62220271
Industrias Oleaginosas SA,Agro Farm Management Corp,30779584
Industrias Oleaginosas SA,Gradeper SAC,3028246
Industrias Oleaginosas SA,Romero Trading,2405813
Industrias Oleaginosas SA,Maximilian Inversiones SA,1922747
Industrias Oleaginosas SA,Agricola Tarapaca Ltda,1396638
Industrias Oleaginosas SA,Alimentos Y Servicios Agropecuarios,1310602
Industrias Oleaginosas SA,Cargill Americas Peru SRL,1291473
Industrias Oleaginosas SA,Empresa Comercializadora De Oleagin,1109466
Industrias Oleaginosas SA,Battilana Nutricion SAC,507081
Industrias Oleaginosas SA,Imiser SAC,381742
Industrias Oleaginosas SA,Nor Alimentos SRL,268206
Industrias Oleaginosas SA,Champion SA,233958
Industrias Oleaginosas SA,Emcoper EIRL,197713
Industrias Oleaginosas SA,Mundo Pecuario SAC,138480
Industrias Oleaginosas SA,Agro Farm Management Corp,133500
Industrias Oleaginosas SA,Agricola Tarapaca Ltda,93080
Industrias Oleaginosas SA,Inversiones Herein Peru SAC,75891
Industrias Oleaginosas SA,Agropecuaria E Industrias Fafio SA,62060
Industrias Oleaginosas SA,Tranor SAC,56909
Industrias Oleaginosas SA,Inversiones Mundo Sur CYB SRL,48777
Industrias Oleaginosas SA,Inversiones Gloalc Del Sur EIRL,25252
Industrias Oleaginosas SA,Oleaginosa Huacho,22424
Cargill Bolivia,Cargill Inc,22592885
Cargill Bolivia,Moreira Cordova Roberto Lucio,19320236
Cargill Bolivia,Graneles Del Peru,3203265
Cargill Bolivia,Agropecuaria Nivar CA,2387750
Cargill Bolivia,Provencesa SA,1710000
Cargill Bolivia,Granja La Rosa CA,1080322
Cargill Bolivia,Cargill Americas Peru SRL,257546
Gran Alimento SRL,Maximilian Inversiones SA,3815214
Gran Alimento SRL,Global Trade Y Logistic SAC,3617539
Gran Alimento SRL,Molinorte SAC,1642020
Gran Alimento SRL,Battilana Nutricion SAC,1144285
Gran Alimento SRL,Agricola Tarapaca Ltda,637641
Gran Alimento SRL,Nutricion Gonzales SAC,244525
Gran Alimento SRL,Agropecuaria E Industrias Fafio SA,172260
Gran Alimento SRL,Imiser SAC,92115
Gran Alimento SRL,Avikaman EIRL,57420
Gran Alimento SRL,Lock Higaki Distribuidores Mayorist,42630
Gran Alimento SRL,Pantagro Corumba Prod Agropec LTD,12150
LDC Bolivia LTDA,LDC Trading Y Service Co SA,10418082
Gran Alimento SRL,Global Trade Y Logistic SAC,3300588
Gran Alimento SRL,Molinorte SAC,1362538
Gran Alimento SRL,Maximilian Inversiones SA,865980
Gran Alimento SRL,Trading Semilla SAC,645250
Gran Alimento SRL,Nutricion Gonzales SAC,264983
Gran Alimento SRL,Battilana Nutricion SAC,186000
Gran Alimento SRL,Agricola Tarapaca Ltda,157781
Gran Alimento SRL,Maximilian Inversiones SA,136063
Gran Alimento SRL,Lock Higaki Distribuidores Mayorist,81870
Gran Alimento SRL,Agropecuaria E Industrias Fafio SA,77430
Otro,Otro1,17605955